,疾病名称,多发人群
0,偏头痛,女性占2/3以上， 10岁前、20岁前、40岁前发病分别为25%， 55%， 90%。
1,帕金森,老年人，于40～70岁，60岁后发病率增高，30多岁前发病少见。
2,老年痴呆症,
3,蛛网膜下腔出血,30～40岁青壮年多见，也有的报道80%的发病年龄在30～69岁。男性稍多于女性。
4,小儿多动症,婴幼儿
5,垂体瘤,青壮年人群
6,小儿脑瘫,儿童人群
7,小儿抽动症,儿童
8,小儿癫痫,儿童人群
9,脑鸣,老年人
10,嗜睡症,年轻人
11,脑萎缩,所有人群
12,老年眩晕,
13,烟雾病,无特殊发病群体
14,新生儿惊厥,新生儿
15,乙脑,儿童
16,脑胶质瘤,儿童及青少年好发，特别是5~9岁儿童发病率最高。
17,缺血缺氧性脑病,新生儿
18,结核性脑膜炎,肺结核群体多见
19,意识障碍,多见于脑血管病，脑外伤，急性感染性疾病人群
20,婴儿痉挛症,发生在出生后几天到30个月，半岁前是发病高峰。
21,慢性铅中毒,儿童或特殊工作人群多见
22,脑疝,无特殊发病群体
23,昏厥,中老年多见
24,抽动障碍,起病于儿童和青少年期
25,小儿脑震荡,小儿
26,安眠药中毒,中青年失眠人群多发
27,颞叶癫痫,主要发生于青年人
28,听神经瘤,高峰在30～50岁，女性约为男性2倍
29,颅咽管瘤,以6～14岁最多见
30,脑囊虫病,生食猪肉习惯者多见，发病年龄以青年为最多，小儿受染者也不少。
31,老年人脑出血,常发生于50～70岁，男性略
32,脑血管瘤,中老年多见
33,化脓性脑膜炎,婴幼儿、60岁以上老年人
34,癫痫伴发的精神障碍,癫痫患者多发
35,痴呆,老年群体
36,脑干损伤,所有人群
37,迟发性运动障碍,老年群体
38,小儿脑积水,新生儿及婴儿
39,反应性精神病,中青年多见
40,难治性癫痫,多见于儿童及青少年
41,生长激素缺乏症,青春期前儿童
42,脑挫裂伤,外伤造成多见
43,小脑扁桃体下疝,婴幼儿
44,原发性癫痫,多见于儿童及青少年
45,闭经性头痛,中青年女性在月经前后多发
46,多发脑梗塞性精神障碍,多在中老年起病
47,垂体性侏儒症,儿童
48,新生儿胆红素脑病,新生儿
49,颅底骨折,所有人群
50,儿童抽动障碍,儿童和青少年时期，男性多见
51,脑干肿瘤,40-60岁人群，男性多于女性
52,癫痫发作与癫痫综合征,癫痫患者或原基础疾病继发
53,脑外伤,所有人群
54,脑脊液漏,颅脑外伤的患者
55,老年性癫痫,老年人
56,硫化氢中毒,职业接触者
57,脑病,脑梗塞、脑出血、脑萎缩痴呆症、小儿脑瘫、癫痫、帕金森病、脑外伤等脑病、神经损伤性疾病
58,毒瘾,所有人群
59,酒精性脑萎缩,所有人群
60,神经元肿瘤和神经元与神经胶质混合性肿瘤,所有人群
61,戒酒综合征,所有人群
62,头皮血肿,所有人群
63,新生儿化脓性脑膜炎,新生儿
64,顶叶癫痫,所有人群
65,CM1神经节苷脂贮积症,"该病多见于婴幼儿及少年,也有成人"
66,多发梗塞性痴呆,老年人
67,神经胶质瘤,儿童
68,松果体瘤,多见于男孩
69,功能性下丘脑性闭经,青年女性
70,基底细胞腺瘤,多见于男性、50-60岁多发
71,脑瘫,新生儿
72,神经性头痛,所有人群
73,内耳膜迷路积水,所有人群
74,帕金森病性痴呆,帕金森病患者
75,小舞蹈病,多见于5～15岁的儿童
76,小脑扁桃体下疝畸形,所有人群
77,疯牛病,所有人群
78,早期婴儿型癫痫性脑病,新生儿及小婴儿
79,Austin型幼儿脑硫脂病,幼儿
80,部分性发作,所有人群
81,外伤后头痛,脑部受过外伤的患者常见
82,颅内低压性头痛,腰穿放液过多
83,路易体痴呆,老年男性
84,中枢神经系统感染,儿童
85,胶质母细胞瘤,本病主要发生于成人， 成人中以45～65岁最为多发，30岁以下年轻患者少见
86,颅内高压综合征,40岁以上中年男人多见
87,脑萎,多起病于50岁以后、女性多于男性
88,空鞍综合征,女性病人多见，占80%～90%。经产妇常见，平均有4个子女。肥胖者居多。发病年龄平均为40岁左右，从20多岁至70岁都可发病
89,下丘脑综合征,所有人群
90,蚕蚀性角膜溃疡,中、老年人
91,水痘性角膜炎,儿童
92,眼睑热性疱疹,常见于6个月至15岁儿童
93,颈动脉海绵窦瘘,多见于有头部外伤史的青年男性、女性患者以孕妇多见
94,Stargardt病,Stargardt病大多在恒齿生长期开始发病
95,过敏性肉芽肿性血管炎相关巩膜炎,15～70岁，男女2:1
96,代谢性白内障,发生于老年者
97,视瞻昏渺,50岁以上中老年人
98,绿色瘤,儿童，男性较女性多见
99,眼眶皮样囊肿,中青年
100,中间葡萄膜炎,所有人群
101,单纯疱疹性葡萄膜炎,所有人群
102,眼球穿通伤,外伤史患者
103,人类免疫缺陷病毒所致葡萄膜炎,有爱滋病或者HIV患者较常见
104,阿克森费尔德-里格尔综合征,所有人群
105,眼睑皮肤弛缓症,所有人群
106,眼睑炭疽,肺脾气虚之人
107,动脉阻塞或狭窄视网膜病变,所有人群
108,眼眶脂肪瘤,成年人
109,周期性动眼神经麻痹,胚胎期
110,小儿视网膜母细胞瘤,婴幼儿，3岁以下儿童
111,Theodore上方角膜缘角结膜炎,成年人
112,圆翳内障,中老年人
113,原发性青光眼,所有人群
114,辐射性白内障,长期接触放射线的工作者、接受放射线治疗者
115,眼部神经纤维瘤病,发病年龄可在出生时儿童后期或成人，男多于女，约为女性的两倍
116,原发性非调节性内斜视,婴幼儿
117,视神经乳头水肿及视盘水肿,颅内压力增高患者
118,慢性进行性眼外肌麻痹,30岁左右
119,视网膜毛细血管血管瘤,所有人群
120,赤脉传睛,所有人群
121,眼类肉瘤病,20-50岁人群，HLA-B8HLA-DR阳性者
122,绿脓杆菌性角膜溃疡,所有人群
123,泪腺混合瘤,中年人
124,原发性慢性闭角型青光眼,40岁以上的发病率约为1%~2%
125,中毒性弱视,大多见于过度饮酒或吸烟的病人
126,视网膜色素上皮炎,青壮年人群
127,巨细胞病毒性葡萄膜炎,所有人群
128,多发性硬化伴发的葡萄膜炎,所有人群
129,眼底血管样条纹,所有人群
130,泪腺多形性腺瘤,青壮年
131,副肿瘤性斜视性眼肌阵挛-肌阵挛,所有人群
132,革兰阳性球菌和革兰阴性杆菌性巩膜炎,所有人群
133,结节性多动脉炎性巩膜炎,所有人群
134,后天性视网膜劈裂,40岁以上人群
135,小儿视神经胶质瘤,儿童
136,泪腺多形性腺癌,中年人
137,中毒性白内障,所有人群
138,继发于无晶状体眼和人工晶状体眼的青光眼,所有人群
139,癫痫,所有人群
140,脑膜炎,中老年人
141,脑震荡,中老年人
142,脑瘤,中老年人
143,病毒性脑炎,所有人群
144,新生儿缺氧缺血性脑病,新生儿，婴儿
145,脑积水,所有人群，婴幼儿
146,脑膜瘤,所有人群，多发生于中年女性。
147,短暂性脑缺血发作,中老年人
148,紧张性头痛,成年女性
149,小儿惊厥,以婴幼儿多见
150,口吃,所有人群
151,丛集性头痛,多见于中年男性
152,脑血栓形成,中老年，男性发病率高于女性
153,发作性睡病,青年
154,新生儿颅内出血,常见于早产儿、足月儿、异常分娩的新生儿
155,表皮囊肿,好发于青年、儿童
156,老年人椎基底动脉供血不足,老年人
157,外伤性癫痫,脑外伤者多见
158,头外伤,中青年多见
159,髓母细胞瘤,主要发生于14岁以下的儿童，少数见于20岁以上者
160,慢性酒精中毒,中老年人群
161,痴呆综合征,中老年多见
162,颅内动脉瘤,多数好发于40至60岁中老年女性
163,老年人神经梅毒,老年人
164,记忆障碍,老年人
165,巨人症,青春期起病至成年
166,弱智,儿童
167,高催乳素血症,所有成年女性可见，亦可见于男性
168,泌乳素瘤,育龄期妇女易发
169,弓形体病,艾滋病患者多发
170,症状性癫痫,脑内外疾患如，脑血管病、颅脑损伤、脑炎、低血糖、低血钙、窒息均可引起
171,儿童期精神障碍及精神发育迟缓,18岁内儿童
172,额叶癫痫,有遗传因素，家族亲属有此病者多发。
173,颅内海绵状血管瘤,所有人群
174,老年人帕金森病,老年人
175,多系统萎缩,成年期发病50～60岁发病多见
176,阴沟肠杆菌感染,老年患者或新生儿多发
177,急性应激反应,多见于青壮年
178,肢端肥大症,无特殊发病群体
179,婴儿脑积水,婴幼儿
180,腹型癫痫综合征,儿童
181,脑脓肿,所有人群
182,枕叶癫痫,4到8岁儿童
183,脑结核瘤,多发生于儿童和青少年
184,青春期发育迟缓,青少年
185,脑供血不足,多发病于青、中年，女性较男性多见。
186,持续性植物状态,所有人群
187,进行性延髓麻痹,常在40岁后起病，男性多于女性
188,苍白球黑质红核色素变性,儿童和青少年
189,扭转痉挛,学龄儿童和青少年
190,小儿生长激素缺乏症,小儿
191,男性性早熟,经常吃保健品或反季的疏菜水果的幼儿多见
192,开放性脑外伤,所有人群
193,颅内脂肪瘤,中老年人群长时间面对电脑的中青年人群
194,脑损伤后综合征,有头部外伤史的人
195,韦尼克脑病,青壮年年龄为30～70岁
196,百合病,所有人
197,小儿颅内出血,新生儿
198,大脑凸面脑膜瘤,60岁以上老年女性
199,麻痹性痴呆,所有人群
200,脑外伤所致精神障碍,所有人群
201,获得性免疫缺陷综合征的神经系统表现,艾滋病患者
202,水痘脑炎,5～7岁幼儿，男多于女
203,氨基酸代谢病,近亲结婚的后代较为常见
204,多发性脑膜瘤,所有人群
205,脑型疟疾,所有人
206,鞍上生殖细胞瘤,多见于10岁左右的女孩
207,中枢神经兴奋药中毒,小儿
208,老年人细菌性脑膜炎,老年人群
209,急性硬脑膜外血肿,以15～40岁青壮年较为多见
210,额叶肿瘤,额叶肿瘤多见于成年人
211,神经性厌食症与神经性贪食症,青少年
212,听神经鞘瘤,本瘤好发于中年人，高峰在30～50岁，最年幼者为8岁，最高年龄可在70岁以上
213,无功能垂体腺瘤,好发于青壮年
214,老年性舞蹈病,60岁以上老年人
215,恶性脑膜瘤,以20-50岁为最多见
216,鞍结节脑膜瘤,"平均年龄在40岁左右,好发于女性"
217,颅内转移瘤,有其他肿瘤患者较常见
218,小儿尿崩症,儿童期
219,异染性脑白质营养不良,所有人群
220,上巩膜静脉压升高所致青光眼,成年人
221,反向斜视,所有人群
222,神经源性角膜炎,所有人群
223,双眼上斜肌麻痹,所有人群
224,眶假瘤,所有人群
225,上隐斜,所有人群
226,眼内转移性肿瘤,所有人群
227,原发性共同性内斜视,所有人群
228,赤膜下垂,多见于椒疮、粟疮重症
229,眼外肌病及弱视,儿童
230,巨大裂孔性视网膜脱离,青壮年男性
231,脉络膜裂伤,所有人群
232,结核性葡萄膜炎,对结核菌素过敏或感染这较常见
233,玻璃体疝,白内障囊内摘出术者
234,眼眶神经鞘瘤,中年人
235,结核性巩膜炎,青壮年人群
236,无晶状体眼,所有人群
237,真菌性巩膜炎,所有人群
238,眼眶骨瘤,青少年、中年人
239,非炎性单纯性突眼,所有人群
240,睥翻粘睑,多见于成人
241,红细胞增多症眼底,所有人群
242,眼眶嗜酸性肉芽肿,儿童
243,聚星障,中老年人
244,主动脉弓综合征视网膜病变,20～30岁的青年妇女
245,红外线伤,青年人、接触炉火高温的车间工人、
246,分离性垂直偏斜,所有人群
247,眼眶寄生虫囊肿,所有人群
248,急性后部多灶性鳞状色素上皮病变,所有人群
249,视网膜下纤维化和葡萄膜炎综合征,所有人群
250,先天性视网膜劈裂症,所有人群
251,混睛帐,老年人
252,后部多形性角膜营养不良,所有人群
253,格子状角膜营养不良,10岁前儿童
254,眼眶转移性肿瘤,所有人群
255,晶状体膨胀所致青光眼,所有人群
256,回旋状脉络膜视网膜萎缩,所有人群
257,眶骨膜下脓肿,所有人群
258,晶状体溶解性青光眼,所有人群
259,眼酸硷化学伤,所有人群
260,非结核分枝杆菌性角膜炎,所有人群
261,弓形体病性巩膜炎,所有人群
262,脉络膜转移癌,所有人群
263,蟹睛,所有人群均可发病
264,微小核糖核酸病毒性角膜炎,所有人群
265,视束病变,所有人群
266,血影细胞性青光眼,眼科手术人群
267,鸟枪弹样视网膜脉络膜病变,有自身免疫性眼部炎性疾病者
268,晶体异位和脱位,所有人群
269,椒疮,所有人群
270,瞀瘛,成年人多见
271,匐行性脉络膜萎缩,所有人群
272,痉挛性脑瘫,新生儿、儿童
273,特发性低促性腺激素性性腺功能减退症,男性
274,垂体前叶机能减退症,所有人群
275,硬脑膜下血肿,好发于小儿及老年人
276,老年人垂体瘤,老年人
277,大脑镰旁脑膜瘤,老年人
278,肝豆状核变性伴发的精神障碍,少年到壮年
279,急性单纯疱疹病毒性脑炎,20岁以上的成人
