,疾病名称,简介,挂号的科室
0,偏头痛,偏头痛是一类有家族发病倾向的周期性发作疾病。表现为发作性的偏侧搏动性头痛，伴恶心、呕吐及羞明，经一段歇期后再次发病。在安静、黑暗环境内或睡眠后头痛缓解。在头痛发生前或发作时可伴有神经、精神功能障碍。,神经内科
1,帕金森,帕金森病(Parkinsons disease)又称震颤麻痹，巴金森氏症或柏金逊症，多在60岁以后发病。主要表现为患者动作缓慢，手脚或身体其它部分的震颤，身体失去柔软性，变得僵硬。最早系统描述该病的是英国的内科医生詹母帕金森，当时还不知道该病应归入哪一类疾病，称该病为震颤麻痹。帕金森病是...,神经内科 中医科
2,老年痴呆症,阿尔茨海默病(Alzheimer’s disease，AD)是慢性进行性中枢神经系统变性病导致的痴呆，是痴呆最常见的病因和最常见的老年期痴呆。AD以渐进性记忆障碍，认知功能障碍、人格改变以及语言障碍等神经精神症状为特征。常起病于老年或老年前期，多缓慢发病，逐渐进展，以痴呆为主要表现，起病于...,
3,小儿多动症,"儿童多动症、多动综合征(hyperkinetic syndrome of childhood)是一种常见的儿童行为异常问题，又称脑功能轻微失调或轻微脑功能障碍综合征(minimal brain dysfunction,MBD)或注意缺陷障碍(attention deficiency disorder,A.D.D.)。这类患儿的智能正常或基本正常，但学习、行为及情绪方面...",儿科 精神病科
4,小儿脑瘫,小儿脑瘫也称为儿童脑瘫，病变部位在脑，累及四肢，常伴有癫痫、智力缺陷，行为异常、精神障碍及视、听觉、语言障碍等症状，是儿童时期常见的中枢神经障碍综合症。,儿科 神经内科
5,小儿抽动症,小儿抽动症又名习惯性痉挛综合征(habitual spasm syndrome)、抽动综合征(tic syndrome)、短暂性抽动障碍等，是发生在儿童期的一种肌肉抽动性疾病。发病率较高，为1%～7%，有报道达4%～23%者。多见于学龄前及学龄早期的儿童。男性明显占优势，男女之比为3∶1～4∶1。多呈良性经过，也有难...,神经内科 儿科
6,脑鸣,脑鸣是指多因脑髓空虚，或因火郁，痰湿阻滞所致，以自觉脑内如虫蛀鸣响为主要表现的脑神疾病。,中医科 耳鼻喉科
7,嗜睡症,嗜睡症为白昼睡眠过度（并非由于睡眠量的不适）或醒来时达到完全觉醒状态的过渡时间延长的一种状况。　　,精神病科 神经内科
8,脑萎缩,脑萎缩是指由于各种原因导致脑组织本身发生器质性病变而产生萎缩的一类神经精神性疾病。脑萎缩包括小儿脑萎缩、成人脑萎缩。以老年人多见。　　本病成年人发病：多发生于50岁以上，病程可达数年至数十年，男性多于女性，脑萎缩有弥漫性脑萎缩（包括皮层萎缩、小脑萎缩及皮层、小脑、脑干萎...,神经内科
9,老年眩晕,眩晕是老年患者临床常见症状之一，是一种运动性错觉(或幻觉)，是指患者在静止状态睁眼或闭目时，有动的感觉(或觉外物围绕自己在转，或觉自身在空间旋转)，年龄越大，发病率越高。,
